Type of collision,2022-Accidents,2022-Killed,2022-injured,2023-Accidents,2023-Killed,2023-injured,%Change-Accidents,%Change-killed,%Change-Injured
Hit and Run,67387,30486,54726,68783,31209,54574,2.1,2.4,-0.3
With parked Vehicle,14139,6012,12666,13810,5636,12575,-2.3,-6.3,-0.7
Hit from Back,98668,32907,95241,110656,36804,107161,12.1,11.8,12.5
Hit from side,71146,20357,72190,73805,20623,74017,3.7,1.3,2.5
Run off Road,20590,9862,20170,21527,10196,20719,4.6,3.4,2.7
Fixed object,15368,7307,14829,17451,8291,16416,13.6,13.5,10.7
Vehicle overturn,20070,9827,21138,18905,9124,21216,-5.8,-7.2,0.4
Head on collision,77886,26413,83580,84348,28898,89867,8.3,9.4,7.5
Others,76058,25320,68826,71298,22109,66280,-6.3,-12.7,-3.7
Total,461312,168491,443366,480583,172890,462825,4.2,2.6,4.4
