Sl No,City,2022 Accidents,2023 Accidents,2022 Ranking Accidents,2023 Ranking Accidents,2022 Killed,2023 Killed,2022 Ranking Killed,2023 Ranking Killed,2022 Injured,2023 Injured,2022 Ranking Injured,2023 Ranking Injured
1.0,Agra,1029,1007,28.0,29.0,548,499,9.0,11.0,795,657,29.0,31.0
2.0,Ahmedabad,1711,1767,19.0,19.0,488,535,11.0,8.0,1305,1347,21.0,21.0
3.0,Allahabad (Prayagraj),1370,1297,24.0,24.0,603,582,6.0,5.0,886,865,28.0,28.0
4.0,Amritsar,117,147,50.0,50.0,82,110,48.0,48.0,62,73,50.0,50.0
5.0,Asansol Durgapur,494,500,40.0,42.0,359,353,17.0,17.0,309,271,44.0,44.0
6.0,Aurangabad,528,619,38.0,35.0,199,203,34.0,36.0,370,431,42.0,40.0
7.0,Bengaluru,3822,4974,4.0,2.0,772,915,2.0,2.0,3189,4162,6.0,3.0
8.0,Bhopal,3313,2906,6.0,9.0,348,196,20.0,39.0,2645,2196,8.0,15.0
9.0,Chandigarh,237,182,47.0,49.0,83,67,47.0,49.0,203,171,45.0,47.0
10.0,Coimbatore,1085,1161,26.0,28.0,272,305,28.0,27.0,939,993,25.0,24.0
11.0,Chennai,3452,3653,5.0,4.0,507,503,10.0,10.0,3724,3958,4.0,4.0
12.0,Delhi,5652,5834,1.0,1.0,1461,1457,1.0,1.0,5201,5470,1.0,1.0
13.0,Dhanbad,179,435,48.0,46.0,114,306,45.0,26.0,73,135,49.0,49.0
14.0,Faridabad,594,598,35.0,37.0,263,269,30.0,28.0,452,485,37.0,38.0
15.0,Ghaziabad,886,991,30.0,30.0,363,365,16.0,16.0,638,703,30.0,30.0
16.0,Gwalior,2057,2064,13.0,16.0,353,344,19.0,19.0,1498,1567,18.0,18.0
17.0,Hyderabad,2516,2943,9.0,7.0,323,335,23.0,20.0,2252,2596,10.0,10.0
18.0,Indore,4680,3566,2.0,5.0,639,257,5.0,31.0,3967,2806,3.0,7.0
19.0,Jabalpur,4046,4205,3.0,3.0,481,545,12.0,7.0,4181,4753,2.0,2.0
20.0,Jaipur,2687,2915,8.0,8.0,765,849,3.0,3.0,2167,2331,12.0,11.0
21.0,Jamshedpur,167,329,49.0,47.0,68,218,49.0,33.0,115,214,48.0,45.0
22.0,Jodhpur,684,686,33.0,33.0,269,261,29.0,30.0,505,565,36.0,35.0
23.0,Kannur,1635,1636,20.0,20.0,149,117,43.0,46.0,2118,2018,14.0,16.0
24.0,Kanpur,1424,1342,23.0,23.0,640,638,4.0,4.0,1011,985,24.0,25.0
25.0,Khozikode,2054,2194,14.0,14.0,195,172,36.0,42.0,2164,2265,13.0,14.0
26.0,Kochi,2432,2803,10.0,10.0,156,177,41.0,41.0,2361,2788,9.0,8.0
27.0,Kolkata,1948,1994,15.0,17.0,185,159,38.0,44.0,1718,1754,16.0,17.0
28.0,Kollam,2082,2136,12.0,15.0,214,211,31.0,34.0,2175,2318,11.0,13.0
29.0,Kota,444,592,44.0,38.0,111,114,46.0,47.0,432,641,39.0,33.0
30.0,Lucknow,1349,1460,25.0,22.0,587,568,7.0,6.0,935,983,26.0,26.0
31.0,Ludhiana,467,504,43.0,41.0,364,402,15.0,12.0,174,209,46.0,46.0
32.0,Madurai,744,768,32.0,32.0,192,264,37.0,29.0,601,583,33.0,34.0
33.0,Mallapuram,2991,3253,7.0,6.0,320,309,24.0,23.0,3499,3801,5.0,5.0
34.0,Meerut,926,939,29.0,31.0,345,395,21.0,13.0,935,848,26.0,29.0
35.0,Mumbai,1895,2533,17.0,12.0,371,384,14.0,14.0,1671,2617,17.0,9.0
36.0,Nagpur,1080,1213,27.0,27.0,310,308,25.0,25.0,1169,1211,23.0,23.0
37.0,Nashik,479,481,41.0,44.0,207,208,33.0,35.0,540,493,35.0,36.0
38.0,Patna,275,322,46.0,48.0,198,200,35.0,37.0,121,166,47.0,48.0
39.0,Pune,871,1230,31.0,26.0,325,351,22.0,18.0,608,881,32.0,27.0
40.0,Raipur,1911,1961,16.0,18.0,583,507,8.0,9.0,1322,1440,20.0,19.0
41.0,Rajkot,498,494,39.0,43.0,150,178,42.0,40.0,422,380,40.0,42.0
42.0,Srinagar,426,476,45.0,45.0,53,56,50.0,50.0,438,492,38.0,37.0
43.0,Surat,683,650,34.0,34.0,293,309,27.0,24.0,553,461,34.0,39.0
44.0,Thiruvanthapuram,1825,2213,18.0,13.0,171,137,40.0,45.0,1911,2326,15.0,12.0
45.0,Thrissur,2374,2613,11.0,11.0,210,231,32.0,32.0,2711,3029,7.0,6.0
46.0,Tiruchirapalli,542,619,36.0,36.0,149,165,43.0,43.0,624,652,31.0,32.0
47.0,Vadodra,478,566,42.0,39.0,181,199,39.0,38.0,378,404,41.0,41.0
48.0,Varanasi,539,558,37.0,40.0,294,327,26.0,21.0,330,344,43.0,43.0
49.0,Vijaywada city,1543,1522,21.0,21.0,418,373,13.0,15.0,1367,1416,19.0,20.0
50.0,Vizaq,1531,1293,22.0,25.0,358,322,18.0,22.0,1288,1222,22.0,22.0
,Total,76752,81144,,,17089,17255,,,69052,73476,,
