state,year,accidents,fatalities,fatality_rate_per_accident,yoy_accident_change,yoy_fatality_change
Andaman & Nicobar Islands,2019,230.0,20.0,0.087,,
Andaman & Nicobar Islands,2020,141.0,14.0,0.0993,-89.0,-6.0
Andaman & Nicobar Islands,2021,115.0,20.0,0.1739,-26.0,6.0
Andaman & Nicobar Islands,2022,141.0,19.0,0.1348,26.0,-1.0
Andaman & Nicobar Islands,2023,143.0,24.0,0.1678,2.0,5.0
Andaman & Nicobar Islands,2024,135.0,29.0,0.2148,-8.0,5.0
Andhra Pradesh,2019,21992.0,7984.0,0.363,,
Andhra Pradesh,2020,19509.0,7039.0,0.3608,-2483.0,-945.0
Andhra Pradesh,2021,21556.0,8186.0,0.3798,2047.0,1147.0
Andhra Pradesh,2022,21249.0,8293.0,0.3903,-307.0,107.0
Andhra Pradesh,2023,19949.0,8137.0,0.4079,-1300.0,-156.0
Andhra Pradesh,2024,19557.0,8346.0,0.4268,-392.0,209.0
Arunachal Pradesh,2019,237.0,127.0,0.5359,,
Arunachal Pradesh,2020,134.0,73.0,0.5448,-103.0,-54.0
Arunachal Pradesh,2021,283.0,157.0,0.5548,149.0,84.0
Arunachal Pradesh,2022,227.0,148.0,0.652,-56.0,-9.0
Arunachal Pradesh,2023,287.0,145.0,0.5052,60.0,-3.0
Arunachal Pradesh,2024,277.0,168.0,0.6065,-10.0,23.0
Assam,2019,8350.0,3208.0,0.3842,,
Assam,2020,6595.0,2629.0,0.3986,-1755.0,-579.0
Assam,2021,7411.0,3036.0,0.4097,816.0,407.0
Assam,2022,7023.0,2994.0,0.4263,-388.0,-42.0
Assam,2023,7421.0,3296.0,0.4441,398.0,302.0
Assam,2024,7848.0,3351.0,0.427,427.0,55.0
Bihar,2019,10007.0,7205.0,0.72,,
Bihar,2020,8639.0,6699.0,0.7754,-1368.0,-506.0
Bihar,2021,9553.0,7660.0,0.8018,914.0,961.0
Bihar,2022,10801.0,8898.0,0.8238,1248.0,1238.0
Bihar,2023,11014.0,8873.0,0.8056,213.0,-25.0
Bihar,2024,11610.0,9347.0,0.8051,596.0,474.0
Chandigarh,2019,305.0,104.0,0.341,,
Chandigarh,2020,159.0,53.0,0.3333,-146.0,-51.0
Chandigarh,2021,208.0,96.0,0.4615,49.0,43.0
Chandigarh,2022,237.0,83.0,0.3502,29.0,-13.0
Chandigarh,2023,182.0,67.0,0.3681,-55.0,-16.0
Chandigarh,2024,169.0,75.0,0.4438,-13.0,8.0
Chhattisgarh,2019,13899.0,5003.0,0.36,,
Chhattisgarh,2020,11656.0,4606.0,0.3952,-2243.0,-397.0
Chhattisgarh,2021,12375.0,5371.0,0.434,719.0,765.0
Chhattisgarh,2022,13279.0,5834.0,0.4393,904.0,463.0
Chhattisgarh,2023,13468.0,6166.0,0.4578,189.0,332.0
Chhattisgarh,2024,14857.0,6945.0,0.4675,1389.0,779.0
D&N Haveli and Daman & Diu,2019,137.0,77.0,0.5632,,
D&N Haveli and Daman & Diu,2020,100.0,64.0,0.64,32.0,15.0
D&N Haveli and Daman & Diu,2021,140.0,76.0,0.5429,40.0,12.0
D&N Haveli and Daman & Diu,2022,196.0,90.0,0.4592,56.0,14.0
D&N Haveli and Daman & Diu,2023,182.0,74.0,0.4066,-14.0,-16.0
D&N Haveli and Daman & Diu,2024,152.0,95.0,0.625,,
Delhi,2019,5610.0,1463.0,0.2608,,
Delhi,2020,4178.0,1196.0,0.2863,-1432.0,-267.0
Delhi,2021,4720.0,1239.0,0.2625,542.0,43.0
Delhi,2022,5652.0,1461.0,0.2585,932.0,222.0
Delhi,2023,5834.0,1457.0,0.2497,182.0,-4.0
Delhi,2024,5657.0,1551.0,0.2742,-177.0,94.0
