Year,Road accidents ('000),Road accident deaths ('000),Road accident injuries ('000),Registered vehicles ('000),Road length ('000 km),"Death rate per 10,000 vehicles",Vehicle density (no of vehicles per km of road)
2012,490.0,138.0,510.0,159491.0,4865.0,8.7,32.8
2013,486.0,138.0,495.0,181508.0,5232.0,7.6,34.7
2014,489.0,140.0,493.0,190704.0,5402.0,7.3,35.3
2015,506.0,147.0,504.0,210023.0,5472.0,7.0,38.4
2016,485.0,151.0,498.0,230031.0,5603.0,6.6,41.1
2017,469.0,150.0,467.0,253311.0,5898.0,5.9,43.0
2018,470.0,158.0,465.0,272587.0,6216.0,5.8,43.9
2019,457.0,159.0,449.0,295772.0,6332.0,5.4,46.7
2020,372.0,138.0,347.0,326299.0,6360.0,4.2,51.3
2021,412.0,154.0,384.0,,,,
2022,461.0,168.0,443.0,,,,
2023,481.0,173.0,463.0,,,,
CAGR 2013/2023,0.12,2.31,-0.67,,,,
