Victim vehicle(Column below)/Crime vehicle (row to the right),Bicycles,Two Wheelers,Auto rickshaws,"Cars, Taxis, Vans & LMVs",Trucks/Lorries,Buses,Other Non- Motor Vehicles (including erickshaw),Others,Total,<-- Crime Vehicle
Pedestrian,54.0,9951.0,1377.0,8724.0,5361.0,2124.0,337.0,7275.0,35203.0,
Bicycles,55.0,1200.0,268.0,1111.0,838.0,364.0,104.0,620.0,4560.0,
Two-wheelers,367.0,27539.0,2354.0,17787.0,14229.0,4327.0,577.0,10359.0,77539.0,
Auto-Rickshaws,99.0,728.0,1332.0,1531.0,1251.0,472.0,112.0,783.0,6308.0,
"Cars, Taxis, Vans & LMVs",172.0,2770.0,541.0,8579.0,5461.0,1585.0,188.0,2200.0,21496.0,
Trucks/Lorries,96.0,1780.0,277.0,1514.0,4193.0,620.0,187.0,1399.0,10066.0,
Buses,70.0,665.0,184.0,476.0,888.0,1092.0,95.0,486.0,3956.0,
Other Non- Motor Vehicles (including erickshaw),55.0,332.0,140.0,458.0,299.0,195.0,212.0,315.0,2006.0,
"Others (other motor vehicles, Animals drawn vehicle, cycle rickshaws, hand carts, & other persons)",130.0,3853.0,551.0,1887.0,1477.0,565.0,239.0,3054.0,11756.0,
Total,1098.0,48818.0,7024.0,42067.0,33997.0,11344.0,2051.0,26491.0,172890.0,
Victim Vehicle(Column above),,,,,,,,,,
