Year,Road accidents ('000),Road accident deaths ('000),Road accident injuries ('000),Registered vehicles ('000),Road length ('000 km),"Death rate per 10,000 vehicles",Vehicle density (no of vehicles per km of road)
2012,490,138,510,"1,59,491","4,865",8.7,32.8
2013,486,138,495,"1,81,508","5,232",7.6,34.7
2014,489,140,493,"1,90,704","5,402",7.3,35.3
2015,506,147,504,"2,10,023","5,472",7,38.4
2016,485,151,498,"2,30,031","5,603",6.6,41.1
2017,469,150,467,"2,53,311","5,898",5.9,43
2018,470,158,465,"2,72,587","6,216",5.8,43.9
2019,457,159,449,"2,95,772","6,332",5.4,46.7
2020,372,138,347,"3,26,299","6,360",4.2,51.3
2021,412,154,384,NA,NA,NA,NA
2022,461,168,443,NA,NA,NA,NA
2023,481,173,463,NA,NA,NA,NA
CAGR 2013/2023,0.12,2.31,-0.67,NA,NA,NA,NA
