Victim vehicle(Column below)/Crime vehicle (row to the right),Bicycles,Two Wheelers,Auto rickshaws,"Cars, Taxis, Vans & LMVs",Trucks/Lorries,Buses,Other Non- Motor Vehicles (including erickshaw),Others,Total,<-- Crime Vehicle
Pedestrian,54,"9,951","1,377","8,724","5,361","2,124",337,"7,275","35,203",
% Share in total,4.9,20.4,19.6,20.7,15.8,18.7,16.4,27.5,20.4,
Bicycles,55,"1,200",268,"1,111",838,364,104,620,"4,560",
% Share in total,5,2.5,3.8,2.6,2.5,3.2,5.1,2.3,2.6,
Two-wheelers,367,"27,539","2,354","17,787","14,229","4,327",577,"10,359","77,539",
% Share in total,33.4,56.4,33.5,42.3,41.9,38.1,28.1,39.1,44.8,
Auto-Rickshaws,99,728,"1,332","1,531","1,251",472,112,783,"6,308",
% Share in total,9,1.5,19,3.6,3.7,4.2,5.5,3,3.6,
"Cars, Taxis, Vans & LMVs",172,"2,770",541,"8,579","5,461","1,585",188,"2,200","21,496",
% Share in total,15.7,5.7,7.7,20.4,16.1,14,9.2,8.3,12.4,
Trucks/Lorries,96,"1,780",277,"1,514","4,193",620,187,"1,399","10,066",
% Share in total,8.7,3.6,3.9,3.6,12.3,5.5,9.1,5.3,5.8,
Buses,70,665,184,476,888,"1,092",95,486,"3,956",
% Share in total,6.4,1.4,2.6,1.1,2.6,9.6,4.6,1.8,2.3,
Other Non- Motor Vehicles (including erickshaw),55,332,140,458,299,195,212,315,"2,006",
% Share in total,5,0.7,2,1.1,0.9,1.7,10.3,1.2,1.2,
"Others (other motor vehicles, Animals drawn vehicle, cycle rickshaws, hand carts, & other persons)",130,"3,853",551,"1,887","1,477",565,239,"3,054","11,756",
% Share in total,11.8,7.9,7.8,4.5,4.3,5,11.7,11.5,6.8,
Total,"1,098","48,818","7,024","42,067","33,997","11,344","2,051","26,491","1,72,890",
Victim Vehicle(Column above),,,,,,,,,,
