Sl No,City,2022 Accidents,2023 Accidents,2022 Ranking Accidents,2023 Ranking Accidents,2022 Killed,2023 Killed,2022 Ranking Killed,2023 Ranking Killed,2022 Injured,2023 Injured,2022 Ranking Injured,2023 Ranking Injured
1,Agra,1029,1007,28,29,548,499,9,11,795,657,29,31
2,Ahmedabad,1711,1767,19,19,488,535,11,8,1305,1347,21,21
3,Allahabad (Prayagraj),1370,1297,24,24,603,582,6,5,886,865,28,28
4,Amritsar,117,147,50,50,82,110,48,48,62,73,50,50
5,Asansol Durgapur,494,500,40,42,359,353,17,17,309,271,44,44
6,Aurangabad,528,619,38,35,199,203,34,36,370,431,42,40
7,Bengaluru,3822,4974,4,2,772,915,2,2,3189,4162,6,3
8,Bhopal,3313,2906,6,9,348,196,20,39,2645,2196,8,15
9,Chandigarh,237,182,47,49,83,67,47,49,203,171,45,47
10,Coimbatore,1085,1161,26,28,272,305,28,27,939,993,25,24
11,Chennai,3452,3653,5,4,507,503,10,10,3724,3958,4,4
12,Delhi,5652,5834,1,1,1461,1457,1,1,5201,5470,1,1
13,Dhanbad,179,435,48,46,114,306,45,26,73,135,49,49
14,Faridabad,594,598,35,37,263,269,30,28,452,485,37,38
15,Ghaziabad,886,991,30,30,363,365,16,16,638,703,30,30
16,Gwalior,2057,2064,13,16,353,344,19,19,1498,1567,18,18
17,Hyderabad,2516,2943,9,7,323,335,23,20,2252,2596,10,10
18,Indore,4680,3566,2,5,639,257,5,31,3967,2806,3,7
19,Jabalpur,4046,4205,3,3,481,545,12,7,4181,4753,2,2
20,Jaipur,2687,2915,8,8,765,849,3,3,2167,2331,12,11
21,Jamshedpur,167,329,49,47,68,218,49,33,115,214,48,45
22,Jodhpur,684,686,33,33,269,261,29,30,505,565,36,35
23,Kannur,1635,1636,20,20,149,117,43,46,2118,2018,14,16
24,Kanpur,1424,1342,23,23,640,638,4,4,1011,985,24,25
25,Khozikode,2054,2194,14,14,195,172,36,42,2164,2265,13,14
26,Kochi,2432,2803,10,10,156,177,41,41,2361,2788,9,8
27,Kolkata,1948,1994,15,17,185,159,38,44,1718,1754,16,17
28,Kollam,2082,2136,12,15,214,211,31,34,2175,2318,11,13
29,Kota,444,592,44,38,111,114,46,47,432,641,39,33
30,Lucknow,1349,1460,25,22,587,568,7,6,935,983,26,26
31,Ludhiana,467,504,43,41,364,402,15,12,174,209,46,46
32,Madurai,744,768,32,32,192,264,37,29,601,583,33,34
33,Mallapuram,2991,3253,7,6,320,309,24,23,3499,3801,5,5
34,Meerut,926,939,29,31,345,395,21,13,935,848,26,29
35,Mumbai,1895,2533,17,12,371,384,14,14,1671,2617,17,9
36,Nagpur,1080,1213,27,27,310,308,25,25,1169,1211,23,23
37,Nashik,479,481,41,44,207,208,33,35,540,493,35,36
38,Patna,275,322,46,48,198,200,35,37,121,166,47,48
39,Pune,871,1230,31,26,325,351,22,18,608,881,32,27
40,Raipur,1911,1961,16,18,583,507,8,9,1322,1440,20,19
41,Rajkot,498,494,39,43,150,178,42,40,422,380,40,42
42,Srinagar,426,476,45,45,53,56,50,50,438,492,38,37
43,Surat,683,650,34,34,293,309,27,24,553,461,34,39
44,Thiruvanthapuram,1825,2213,18,13,171,137,40,45,1911,2326,15,12
45,Thrissur,2374,2613,11,11,210,231,32,32,2711,3029,7,6
46,Tiruchirapalli,542,619,36,36,149,165,43,43,624,652,31,32
47,Vadodra,478,566,42,39,181,199,39,38,378,404,41,41
48,Varanasi,539,558,37,40,294,327,26,21,330,344,43,43
49,Vijaywada city,1543,1522,21,21,418,373,13,15,1367,1416,19,20
50,Vizaq,1531,1293,22,25,358,322,18,22,1288,1222,22,22
,Total,76752,81144,,,17089,17255,,,69052,73476,,
