state,year,accidents,fatalities,fatality_rate_per_accident,yoy_accident_change,yoy_fatality_change
Andaman & Nicobar Islands,2019,230,20,0.087,,
Andaman & Nicobar Islands,2020,141,14,0.0993,-89,-6
Andaman & Nicobar Islands,2021,115,20,0.1739,-26,6
Andaman & Nicobar Islands,2022,141,19,0.1348,26,-1
Andaman & Nicobar Islands,2023,143,24,0.1678,2,5
Andaman & Nicobar Islands,2024,135,29,0.2148,-8,5
Andhra Pradesh,2019,21992,7984,0.363,,
Andhra Pradesh,2020,19509,7039,0.3608,-2483,-945
Andhra Pradesh,2021,21556,8186,0.3798,2047,1147
Andhra Pradesh,2022,21249,8293,0.3903,-307,107
Andhra Pradesh,2023,19949,8137,0.4079,-1300,-156
Andhra Pradesh,2024,19557,8346,0.4268,-392,209
Arunachal Pradesh,2019,237,127,0.5359,,
Arunachal Pradesh,2020,134,73,0.5448,-103,-54
Arunachal Pradesh,2021,283,157,0.5548,149,84
Arunachal Pradesh,2022,227,148,0.652,-56,-9
Arunachal Pradesh,2023,287,145,0.5052,60,-3
Arunachal Pradesh,2024,277,168,0.6065,-10,23
Assam,2019,8350,3208,0.3842,,
Assam,2020,6595,2629,0.3986,-1755,-579
Assam,2021,7411,3036,0.4097,816,407
Assam,2022,7023,2994,0.4263,-388,-42
Assam,2023,7421,3296,0.4441,398,302
Assam,2024,7848,3351,0.427,427,55
Bihar,2019,10007,7205,0.72,,
Bihar,2020,8639,6699,0.7754,-1368,-506
Bihar,2021,9553,7660,0.8018,914,961
Bihar,2022,10801,8898,0.8238,1248,1238
Bihar,2023,11014,8873,0.8056,213,-25
Bihar,2024,11610,9347,0.8051,596,474
Chandigarh,2019,305,104,0.341,,
Chandigarh,2020,159,53,0.3333,-146,-51
Chandigarh,2021,208,96,0.4615,49,43
Chandigarh,2022,237,83,0.3502,29,-13
Chandigarh,2023,182,67,0.3681,-55,-16
Chandigarh,2024,169,75,0.4438,-13,8
Chhattisgarh,2019,13899,5003,0.36,,
Chhattisgarh,2020,11656,4606,0.3952,-2243,-397
Chhattisgarh,2021,12375,5371,0.434,719,765
Chhattisgarh,2022,13279,5834,0.4393,904,463
Chhattisgarh,2023,13468,6166,0.4578,189,332
Chhattisgarh,2024,14857,6945,0.4675,1389,779
D&N Haveli and Daman & Diu,2019,137,77,0.5632,,
D&N Haveli and Daman & Diu,2020,100,64,0.64,32,15
D&N Haveli and Daman & Diu,2021,140,76,0.5429,40,12
D&N Haveli and Daman & Diu,2022,196,90,0.4592,56,14
D&N Haveli and Daman & Diu,2023,182,74,0.4066,-14,-16
D&N Haveli and Daman & Diu,2024,152,95,0.625,,
Delhi,2019,5610,1463,0.2608,,
Delhi,2020,4178,1196,0.2863,-1432,-267
Delhi,2021,4720,1239,0.2625,542,43
Delhi,2022,5652,1461,0.2585,932,222
Delhi,2023,5834,1457,0.2497,182,-4
Delhi,2024,5657,1551,0.2742,-177,94
Goa,2019,3440,297,0.0863,,
Goa,2020,2375,223,0.0939,-1065,-74
Goa,2021,2849,226,0.0793,474,3
Goa,2022,3011,271,0.09,162,45
Goa,2023,2846,290,0.1019,-165,19
Goa,2024,2682,286,0.1066,-164,-4
Gujarat,2019,17046,7390,0.4335,,
Gujarat,2020,13398,6170,0.4605,-3648,-1220
Gujarat,2021,15186,7452,0.4907,1788,1282
Gujarat,2022,15751,7618,0.4837,565,166
Gujarat,2023,16349,7854,0.4804,598,236
Gujarat,2024,15588,7717,0.4951,-761,-137
Haryana,2019,10944,5057,0.4621,,
Haryana,2020,9431,4507,0.4779,-1513,-550
Haryana,2021,9933,4706,0.4738,502,199
Haryana,2022,10429,4915,0.4713,496,209
Haryana,2023,10463,4968,0.4748,34,53
Haryana,2024,9806,4689,0.4782,-657,-279
Himachal Pradesh,2019,2873,1146,0.3989,,
Himachal Pradesh,2020,2239,893,0.3988,-634,-253
Himachal Pradesh,2021,2404,1052,0.4376,165,159
Himachal Pradesh,2022,2597,1032,0.3974,193,-20
Himachal Pradesh,2023,2253,889,0.3946,-344,-143
Himachal Pradesh,2024,2156,869,0.4031,-97,-20
Jammu and Kashmir,2019,5796,996,0.1718,,
Jammu and Kashmir,2020,4860,728,0.1498,-936,-268
Jammu and Kashmir,2021,5452,774,0.142,592,46
Jammu and Kashmir,2022,6092,805,0.1321,640,31
Jammu and Kashmir,2023,6298,893,0.1418,206,88
Jammu and Kashmir,2024,5808,831,0.1431,,
Jharkhand,2019,5217,3801,0.7286,,
Jharkhand,2020,4405,3044,0.691,-812,-757
Jharkhand,2021,4728,3513,0.743,323,469
Jharkhand,2022,5175,3898,0.7532,447,385
Jharkhand,2023,5315,4173,0.7851,140,275
Jharkhand,2024,5196,4114,0.7918,-119,-59
Karnataka,2019,40658,10958,0.2695,,
Karnataka,2020,34178,9760,0.2856,-6480,-1198
Karnataka,2021,34647,10038,0.2897,469,278
Karnataka,2022,39762,11702,0.2943,5115,1664
Karnataka,2023,43440,12321,0.2836,3678,619
Karnataka,2024,43062,12390,0.2877,-378,69
Kerala,2019,41111,4440,0.108,,
Kerala,2020,27877,2979,0.1069,-13234,-1461
Kerala,2021,33296,3429,0.103,5419,450
Kerala,2022,43910,4317,0.0983,10614,888
Kerala,2023,48091,4080,0.0848,4181,-237
Kerala,2024,48834,3880,0.0795,743,-200
Ladakh,2019,0,0,,,
Ladakh,2020,0,0,,,
Ladakh,2021,236,56,0.2373,,
Ladakh,2022,374,62,0.1658,138,6
Ladakh,2023,289,59,0.2042,-85,-3
Ladakh,2024,264,61,0.2311,-25,2
Lakshadweep,2019,1,0,0,,
Lakshadweep,2020,1,0,0,0,0
Lakshadweep,2021,4,1,0.25,3,1
Lakshadweep,2022,3,2,0.6667,-1,1
Lakshadweep,2023,1,0,0,-2,-2
Lakshadweep,2024,0,0,,-1,0
Madhya Pradesh,2019,50669,11249,0.222,,
Madhya Pradesh,2020,45266,11141,0.2461,-5403,-108
Madhya Pradesh,2021,48877,12057,0.2467,3611,916
Madhya Pradesh,2022,54432,13427,0.2467,5555,1370
Madhya Pradesh,2023,55327,13798,0.2494,895,371
Madhya Pradesh,2024,56669,14791,0.261,1342,993
Maharashtra,2019,32925,12788,0.3884,,
Maharashtra,2020,24971,11569,0.4633,-7954,-1219
Maharashtra,2021,29477,13528,0.4589,4506,1959
Maharashtra,2022,33383,15224,0.456,3906,1696
Maharashtra,2023,35243,15366,0.436,1860,142
Maharashtra,2024,36118,15715,0.4351,875,349
Manipur,2019,672,156,0.2321,,
Manipur,2020,432,127,0.294,-240,-29
Manipur,2021,366,110,0.3005,-66,-17
Manipur,2022,508,127,0.25,142,17
Manipur,2023,398,73,0.1834,-110,-54
Manipur,2024,299,72,0.2408,-99,-1
Meghalaya,2019,482,179,0.3714,,
Meghalaya,2020,214,144,0.6729,-268,-35
Meghalaya,2021,245,187,0.7633,31,43
Meghalaya,2022,246,162,0.6585,1,-25
Meghalaya,2023,223,168,0.7534,-23,6
Meghalaya,2024,269,197,0.7323,46,29
Mizoram,2019,62,48,0.7742,,
Mizoram,2020,53,42,0.7925,-9,-6
Mizoram,2021,69,56,0.8116,16,14
Mizoram,2022,133,113,0.8496,64,57
Mizoram,2023,106,96,0.9057,-27,-17
Mizoram,2024,118,110,0.9322,12,14
Nagaland,2019,358,26,0.0726,,
Nagaland,2020,500,53,0.106,142,27
Nagaland,2021,746,55,0.0737,246,2
Nagaland,2022,489,73,0.1493,-257,18
Nagaland,2023,303,86,0.2838,-186,13
Nagaland,2024,129,62,0.4806,-174,-24
Odisha,2019,11064,5333,0.482,,
Odisha,2020,9817,4738,0.4826,-1247,-595
Odisha,2021,10983,5081,0.4626,1166,343
Odisha,2022,11663,5467,0.4687,680,386
Odisha,2023,11992,5739,0.4786,329,272
Odisha,2024,12375,6142,0.4963,383,403
Puducherry,2019,1392,147,0.1056,,
Puducherry,2020,969,145,0.1496,-423,-2
Puducherry,2021,1049,140,0.1335,80,-5
Puducherry,2022,1181,181,0.1533,132,41
Puducherry,2023,1308,149,0.1139,127,-32
Puducherry,2024,1431,218,0.1523,123,69
Punjab,2019,6348,4525,0.7128,,
Punjab,2020,5203,3898,0.7492,-1145,-627
Punjab,2021,5871,4589,0.7816,668,691
Punjab,2022,6138,4756,0.7748,267,167
Punjab,2023,6269,4829,0.7703,131,73
Punjab,2024,6063,4759,0.7849,-206,-70
Rajasthan,2019,23480,10563,0.4499,,
Rajasthan,2020,19114,9250,0.4839,-4366,-1313
Rajasthan,2021,20951,10043,0.4794,1837,793
Rajasthan,2022,23614,11104,0.4702,2663,1061
Rajasthan,2023,24694,11762,0.4763,1080,658
Rajasthan,2024,24838,11790,0.4747,144,28
Sikkim,2019,162,73,0.4506,,
Sikkim,2020,138,47,0.3406,-24,-26
Sikkim,2021,155,56,0.3613,17,9
Sikkim,2022,211,92,0.436,56,36
Sikkim,2023,182,57,0.3132,-29,-35
Sikkim,2024,149,67,0.4497,-33,10
Tamil Nadu,2019,62685,18129,0.2892,,
Tamil Nadu,2020,49844,14527,0.2914,-12841,-3602
Tamil Nadu,2021,55682,15384,0.2763,5838,857
Tamil Nadu,2022,64105,17884,0.279,8423,2500
Tamil Nadu,2023,67213,18347,0.273,3108,463
Tamil Nadu,2024,67526,18449,0.2732,313,102
Telangana,2019,21570,6964,0.3229,,
Telangana,2020,19172,6882,0.359,-2398,-82
Telangana,2021,21315,7557,0.3545,2143,675
Telangana,2022,21619,7559,0.3496,304,2
Telangana,2023,22903,7660,0.3345,1284,101
Telangana,2024,25986,7949,0.3059,3083,289
Tripura,2019,655,239,0.3649,,
Tripura,2020,466,192,0.412,-189,-47
Tripura,2021,479,194,0.405,13,2
Tripura,2022,575,241,0.4191,96,47
Tripura,2023,577,261,0.4523,2,20
Tripura,2024,578,226,0.391,1,-35
Uttar Pradesh,2019,42572,22655,0.5322,,
Uttar Pradesh,2020,34243,19149,0.5592,-8329,-3506
Uttar Pradesh,2021,37729,21227,0.5626,3486,2078
Uttar Pradesh,2022,41746,22595,0.5412,4017,1368
Uttar Pradesh,2023,44534,23652,0.5311,2788,1057
Uttar Pradesh,2024,46052,24118,0.5237,1518,466
Uttarakhand,2019,1352,867,0.6413,,
Uttarakhand,2020,1041,674,0.6475,-311,-193
Uttarakhand,2021,1405,820,0.5836,364,146
Uttarakhand,2022,1674,1042,0.6225,269,222
Uttarakhand,2023,1691,1054,0.6233,17,12
Uttarakhand,2024,1747,1090,0.6239,56,36
West Bengal,2019,12658,5767,0.4556,,
West Bengal,2020,10863,5128,0.4721,-1795,-639
West Bengal,2021,11937,5800,0.4859,1074,672
West Bengal,2022,13686,6002,0.4386,1749,202
West Bengal,2023,13795,6027,0.4369,109,25
West Bengal,2024,13702,6676,0.4872,-93,649
